vendor,score,recency_h,recent_changes,hv_changes,total_changes,hash_ratio,has_pack
status.chargebee.com,26,103,0,2,2,1,0
status.datadoghq.com,26,103,0,2,2,1,0
status.dropbox.com,26,103,0,2,2,1,0
status.duo.com,26,103,0,2,2,1,0
status.elastic.co,26,103,0,2,2,1,0
status.figma.com,26,103,0,2,2,1,0
status.helpscout.com,26,103,0,2,2,1,0
status.hubspot.com,26,103,0,2,2,1,0
status.mailgun.com,26,103,0,2,2,1,0
status.monday.com,26,103,0,2,2,1,0
status.mongodb.com,26,103,0,2,2,1,0
status.newrelic.com,26,103,0,2,2,1,0
status.postmarkapp.com,26,103,0,2,2,1,0
status.render.com,26,103,0,2,2,1,0
status.segment.com,26,103,0,2,2,1,0
status.sendgrid.com,26,103,0,2,2,1,0
status.sentry.io,26,103,0,2,2,1,0
status.snowflake.com,26,103,0,2,2,1,0
status.supabase.com,26,103,0,2,2,1,0
status.twilio.com,26,103,0,2,2,1,0
status.zoho.com,26,103,0,2,2,1,0
datadoghq.com,25,103,0,3,7,0.286,1
miro.com,25,103,0,3,7,0.286,1
supabase.com,25,103,0,3,7,0.286,1
sendgrid.com,24,103,0,3,4,0.75,0
_seed.com,23,103,0,1,1,1,0
acme.com,23,103,0,1,1,1,0
help,23,103,0,1,2,1,0
status.help,23,103,0,1,1,1,0
acme,23,127,0,1,1,1,0
render.com,22,103,0,3,3,0.667,0
asana.com,19,103,0,3,4,0.5,0
auth0.com,19,103,0,3,4,0.5,0
slack.com,19,103,0,3,4,0.5,0
status.adyen.com,19,103,0,2,3,0.667,0
status.algolia.com,19,103,0,2,3,0.667,0
status.auth0.com,19,103,0,2,3,0.667,0
status.aws.amazon.com,19,103,0,2,3,0.667,0
status.bitbucket.org,19,103,0,2,3,0.667,0
status.braintreepayments.com,19,103,0,2,3,0.667,0
status.canva.com,19,103,0,2,3,0.667,0
status.checkout.com,19,103,0,2,3,0.667,0
status.cloudflare.com,19,103,0,2,3,0.667,0
status.confluent.io,19,103,0,2,3,0.667,0
status.contentful.com,19,103,0,2,3,0.667,0
status.domain,19,103,0,2,3,0.667,0
status.fastly.com,19,103,0,2,3,0.667,0
status.freshworks.com,19,103,0,2,3,0.667,0
status.github.com,19,103,0,2,3,0.667,0
status.gitlab.com,19,103,0,2,3,0.667,0
status.globex.com,19,103,0,2,3,0.667,0
status.google.com,19,103,0,2,3,0.667,0
status.heroku.com,19,103,0,2,3,0.667,0
status.intercom.com,19,103,0,2,3,0.667,0
status.linear.app,19,103,0,2,3,0.667,0
status.microsoft.com,19,103,0,2,3,0.667,0
status.miro.com,19,103,0,2,3,0.667,0
status.netlify.com,19,103,0,2,3,0.667,0
status.notion.so,19,103,0,2,3,0.667,0
status.okta.com,19,103,0,2,3,0.667,0
status.onelogin.com,19,103,0,2,3,0.667,0
status.paddle.com,19,103,0,2,3,0.667,0
status.recurly.com,19,103,0,2,3,0.667,0
status.salesforce.com,19,103,0,2,3,0.667,0
status.sanity.io,19,103,0,2,3,0.667,0
status.slack.com,19,103,0,2,3,0.667,0
status.stripe.com,19,103,0,2,3,0.667,0
status.vercel.com,19,103,0,2,3,0.667,0
status.zendesk.com,19,103,0,2,3,0.667,0
status.zoom.us,19,103,0,2,3,0.667,0
zoom.us,19,103,0,2,3,0.667,0
postmarkapp.com,16,103,0,2,4,0.5,0
segment.com,16,103,0,3,6,0.333,0
status.acme.com,0,103,0,0,1,0,0
